,hidden_0_n0,hidden_0_n1,hidden_0_n2,hidden_0_n3,hidden_0_n4,hidden_0_n5,hidden_0_n6,hidden_0_n7,hidden_0_n8,hidden_0_n9,hidden_0_n10,hidden_0_n11,hidden_0_n12,hidden_0_n13,hidden_0_n14,hidden_0_n15,hidden_0_n16,hidden_0_n17,hidden_0_n18,hidden_0_n19,hidden_0_n20,hidden_0_n21,hidden_0_n22,hidden_0_n23,hidden_0_n24,hidden_0_n25,hidden_0_n26,hidden_0_n27,hidden_0_n28,hidden_0_n29,hidden_0_n30,hidden_0_n31,hidden_0_n32,hidden_0_n33,hidden_0_n34,hidden_0_n35,hidden_0_n36,hidden_0_n37,hidden_0_n38,hidden_0_n39,hidden_0_n40,hidden_0_n41,hidden_0_n42,hidden_0_n43,hidden_0_n44,hidden_0_n45,hidden_0_n46,hidden_0_n47,hidden_0_n48,hidden_0_n49,hidden_0_n50,hidden_0_n51,hidden_0_n52,hidden_0_n53,hidden_0_n54,hidden_0_n55,hidden_0_n56,hidden_0_n57,hidden_0_n58,hidden_0_n59,hidden_0_n60,hidden_0_n61,hidden_0_n62,hidden_0_n63,hidden_0_n64,hidden_0_n65,hidden_0_n66,hidden_0_n67,hidden_0_n68,hidden_0_n69,hidden_0_n70,hidden_0_n71,hidden_0_n72,hidden_0_n73,hidden_0_n74,hidden_0_n75,hidden_0_n76,hidden_0_n77,hidden_0_n78,hidden_0_n79,hidden_0_n80,hidden_0_n81,hidden_0_n82,hidden_0_n83,hidden_0_n84,hidden_0_n85,hidden_0_n86,hidden_0_n87,hidden_0_n88,hidden_0_n89,hidden_0_n90,hidden_0_n91,hidden_0_n92,hidden_0_n93,hidden_0_n94,hidden_0_n95,hidden_0_n96,hidden_0_n97,hidden_0_n98,hidden_0_n99,hidden_0_n100,hidden_0_n101,hidden_0_n102,hidden_0_n103,hidden_0_n104,hidden_0_n105,hidden_0_n106,hidden_0_n107,hidden_0_n108,hidden_0_n109,hidden_0_n110,hidden_0_n111,hidden_0_n112,hidden_0_n113,hidden_0_n114,hidden_0_n115,hidden_0_n116,hidden_0_n117,hidden_0_n118,hidden_0_n119,hidden_0_n120,hidden_0_n121,hidden_0_n122,hidden_0_n123,hidden_0_n124,hidden_0_n125,hidden_0_n126,hidden_0_n127,hidden_1_n0,hidden_1_n1,hidden_1_n2,hidden_1_n3,hidden_1_n4,hidden_1_n5,hidden_1_n6,hidden_1_n7,hidden_1_n8,hidden_1_n9,hidden_1_n10,hidden_1_n11,hidden_1_n12,hidden_1_n13,hidden_1_n14,hidden_1_n15,hidden_1_n16,hidden_1_n17,hidden_1_n18,hidden_1_n19,hidden_1_n20,hidden_1_n21,hidden_1_n22,hidden_1_n23,hidden_1_n24,hidden_1_n25,hidden_1_n26,hidden_1_n27,hidden_1_n28,hidden_1_n29,hidden_1_n30,hidden_1_n31,hidden_1_n32,hidden_1_n33,hidden_1_n34,hidden_1_n35,hidden_1_n36,hidden_1_n37,hidden_1_n38,hidden_1_n39,hidden_1_n40,hidden_1_n41,hidden_1_n42,hidden_1_n43,hidden_1_n44,hidden_1_n45,hidden_1_n46,hidden_1_n47,hidden_1_n48,hidden_1_n49,hidden_1_n50,hidden_1_n51,hidden_1_n52,hidden_1_n53,hidden_1_n54,hidden_1_n55,hidden_1_n56,hidden_1_n57,hidden_1_n58,hidden_1_n59,hidden_1_n60,hidden_1_n61,hidden_1_n62,hidden_1_n63
hidden_0_n48,0.116290346,2.547627,2.37818,0.31600899,1.6435895,0.80779135,1.5872223,0.15425603,0.11336413,0.31248054,1.897672,0.66981566,1.1879876,1.7873313,1.0022935,0.59020865,0.38509786,1.2087499,0.6562857,0.47265673,0.22669873,1.0626338,0.42821193,0.15460189,0.58067095,2.0901992,0.1831294,0.9367279,0.37671083,1.1730691,0.86798334,0.8894596,0.4365285,0.41990083,0.6533173,1.9906152,0.17511007,0.13806874,1.0044249,0.72461426,1.8114846,0.35460064,0.18404382,0.7881765,0.56864905,2.1507661,0.232147,0.21205688,0.0,1.7139051,0.07632176,0.3991767,1.1360044,1.6473055,1.2261918,0.14391473,1.578839,2.609105,0.5832391,0.7599676,0.36522904,3.1148288,0.35378698,1.467179,0.60847443,1.4823827,0.25808445,0.97561884,0.44004697,0.25916883,0.38852695,0.36722782,0.8254358,0.6539786,1.7293015,1.0001941,0.7223095,0.29770222,1.8950845,0.80081886,0.56968796,1.0891979,0.07352402,0.17172658,0.7158421,0.88853186,1.4878334,1.0236787,0.47419462,0.671191,0.77999,1.0138958,1.0168617,0.55917996,0.051970225,2.1676445,2.1208324,1.6274706,1.3519788,0.568401,0.42014167,2.9818046,0.72609603,0.15113422,0.20244606,1.0922623,1.5033112,0.3342992,0.83581483,1.0979759,0.76520795,3.6171808,0.44805354,2.216491,0.24424893,0.5645561,1.3178666,0.27337387,0.18969047,0.63790685,1.1491288,1.4590814,0.28606057,0.46264952,0.5986961,0.279992,0.28017467,3.8487759,1.9595361,1.25655,1.1522661,1.8856915,1.3858801,0.33908468,0.4727502,0.98631275,0.76610374,0.3045892,0.44336042,3.1989934,0.2536614,0.24065135,0.17958266,0.8373265,0.10760979,0.2025156,1.3394973,2.3360763,0.51467025,0.4671613,0.32490048,0.28485197,0.4953984,1.3714377,0.10778262,1.385697,2.924492,0.74612194,2.7024045,0.6500369,0.30760777,1.2425346,0.5378616,0.37934136,0.69893074,0.5012773,2.8515873,3.2798452,2.6976352,2.7900226,1.1694202,1.3968863,1.2064205,0.6629455,0.6362583,0.3287827,1.118317,0.22213067,1.1712614,0.9538332,0.97471386,4.7465043,1.1122273,0.5903243,1.3681569,0.14989707,1.3620994,0.92841816,0.4554792,0.5328546,0.5197396,0.62124383
hidden_0_n49,0.57258284,0.8182477,0.33910844,0.77198815,0.62106407,0.35228854,0.6650163,0.92614925,0.30148563,0.7445589,0.21597102,0.6669494,0.37683973,2.0343854,0.3227517,1.5056984,0.3925446,0.3627034,0.65039045,1.4287022,0.5510764,0.5449582,0.3812329,1.0139749,0.1805911,0.17527205,0.67315567,0.3447173,0.3417205,1.1730869,1.6507242,2.0726798,1.1449937,2.4204433,0.87514067,1.767467,0.43098244,1.1889037,0.20500873,1.2051736,0.25634956,1.1025184,0.2395873,0.8186165,1.2509677,1.3533704,0.81266224,0.8088086,0.99725497,0.0,1.0846207,0.60096836,0.62972236,1.220407,0.6090705,1.9071736,0.29064152,0.47161722,0.77044976,1.1120083,0.986485,0.20884295,1.6733965,0.4927754,0.8160612,1.4459702,0.5993774,0.612155,2.83834,1.3719912,1.8055435,1.9552808,1.5768095,0.9361383,0.953119,0.1964824,1.0742896,2.96889,1.0583901,1.1324494,1.4679482,0.08537492,0.46087313,2.42536,0.8308633,0.29419428,1.5358181,0.18971872,0.9974574,1.1024135,1.9196427,0.388914,0.9260971,0.61593294,0.01507714,0.92150164,2.3658361,0.49636045,0.72007895,2.2177851,0.2156388,0.119147636,0.19295731,1.8905503,1.5450138,0.26912713,0.28096154,1.4375734,3.1588857,1.2706212,1.8064009,0.5694993,0.27579457,1.4214715,0.4642881,0.97862583,0.95013916,2.138105,0.4667614,0.5587053,0.5386527,0.18197247,0.96165246,1.2172967,0.029960189,1.1718869,0.07062054,0.16593525,0.77476484,0.080573015,1.0261681,1.3716681,0.53237915,1.0591737,1.383231,0.34267193,0.389634,1.5315784,0.33292282,1.4289068,1.004633,0.042516965,0.5948621,1.9588215,0.250363,0.49690485,1.0242332,0.93321985,1.2702181,0.17117351,1.5085166,0.28402296,0.6697471,0.27419636,0.73663425,0.3897444,1.7294457,0.5205958,0.27249816,0.633339,0.9671667,1.0910203,1.2854359,0.80389535,0.49279568,0.08139874,0.05680944,2.6996164,0.3434886,0.44143912,0.27949902,0.044677675,1.5927093,0.5986006,0.3177187,0.5501456,0.6900373,0.37411922,1.4290855,0.33569202,1.8032328,2.9896636,0.071703315,0.3325177,0.81870776,0.7600347,0.701941,0.043500047,0.7258572,1.4986836,0.12786919,0.60341144
hidden_0_n50,0.54148144,0.79942316,0.41477764,0.1755413,0.78922355,0.2600508,2.2255185,0.39664972,1.1504117,1.0168706,1.1345319,0.76795596,0.017272016,0.112390794,0.9873941,0.29585418,0.6196405,1.306406,1.2292072,0.60548145,0.7382545,0.22309554,1.5603718,0.48356482,1.1054229,2.1732118,0.17321204,0.32519394,1.2252215,0.25217274,0.19194646,1.081666,0.59438485,1.9286962,0.15150088,0.37127262,0.3874281,0.76832956,0.51944333,0.3705389,1.1942017,0.097700365,0.38595086,0.024703184,1.7554048,0.626278,0.98957944,0.46774116,1.4095514,0.14278413,0.0,0.4526731,0.5700447,0.8462354,0.4666222,1.6034707,0.7995952,0.42866224,1.360784,0.22314425,0.13833922,0.16348195,0.89735186,1.0153811,0.4205638,0.34961903,1.2172604,0.26450065,0.9711085,2.2394097,0.4551618,0.297415,0.44362807,1.0456542,0.43841198,0.047179595,0.4035539,0.33062005,0.04464441,1.1615354,0.4211249,0.35479578,0.38000047,1.4499604,0.36005855,0.25424582,0.37299657,0.5363105,0.28446695,0.060713466,0.08783947,0.5726063,0.09857644,0.5106133,1.2532644,0.8044281,0.4798952,1.043058,0.093991265,0.57272995,1.1417991,1.2287534,0.10023557,1.4015642,0.4434759,1.2812449,1.3179977,0.7474709,0.6071729,0.60180664,0.74324346,0.7925976,1.4678631,1.011716,0.1327442,1.320965,0.05966172,1.1623315,0.19339164,0.62535906,0.06672243,0.2258534,0.2980696,0.3108996,0.28381282,0.9835845,0.15223108,0.07657272,0.75607646,0.156005,0.05402154,0.34128448,0.6847869,1.7591505,0.7236766,1.087692,0.8464455,0.3148976,0.5234512,0.4742164,0.15583491,0.1930039,0.77354187,0.23183365,0.43329886,0.5730199,1.7047255,0.2284553,0.75392777,0.5757726,0.11332399,1.6970913,0.98600245,0.7180441,0.9134362,1.3149767,0.3173401,1.0463494,0.010742511,0.9898647,0.41159937,0.3016322,0.9585833,0.22209771,0.9667377,0.5826518,1.5173973,0.5480571,0.7583472,0.85106564,0.78430104,0.52561116,0.23318025,1.1680973,0.23740841,0.34753087,0.66708136,1.4051664,0.3221444,0.3402625,0.9694388,0.22366601,0.42595774,0.1281335,0.5246473,0.048260204,0.55851763,0.3888566,0.5813551,0.3448109,0.710821,0.5847515
hidden_0_n51,0.7507397,0.927896,1.2835793,1.0272218,3.30806,1.4752421,0.7293689,0.48766997,1.6658607,0.25916547,2.2688587,1.3106786,0.6504787,3.351791,0.33529472,4.322462,0.4904945,0.41671392,0.3538246,1.0046479,0.81120056,0.12086499,0.21997596,0.9053987,0.006715394,0.81081903,0.08981704,1.687925,1.476826,1.3467551,0.77697355,0.7615765,1.3712382,1.1048229,1.4971153,0.955743,2.942286,1.3576882,1.2349554,3.3758614,1.5841348,0.2730275,2.0652115,1.0187097,1.7879567,3.3387828,0.27384672,0.71045905,0.5801765,0.41455722,1.6210892,0.0,1.6081775,1.0450956,0.49857488,2.6412141,1.4318697,2.7933755,0.8565905,0.46549115,1.7670633,0.6776777,0.15790957,0.42258006,1.4801327,0.89109063,2.3459392,0.1801548,0.5518718,1.2699533,1.2762816,1.9513649,1.6551898,0.49106017,1.1095972,1.0455358,1.8669703,0.6264422,1.1988094,0.9759714,0.88036996,1.4559224,0.30158758,0.50847805,1.5722811,0.83543956,1.0998011,0.5871427,0.53860784,1.6488197,1.0934074,2.1386933,0.08101978,0.11384533,0.41108838,0.20886461,2.3678777,1.7856815,1.0850466,1.2638593,1.9503177,0.2088501,0.9374674,0.4578954,0.23401378,0.44425344,0.90108305,2.923974,0.966601,1.7652256,3.7680628,0.7370436,2.3683004,0.21462771,2.1940029,0.9339198,1.031989,1.3440442,2.2132902,4.385454,0.765662,0.19681166,0.9310474,1.846701,1.7391573,1.8863235,1.2334567,1.6245103,1.2258309,2.314619,0.95470726,0.30048895,2.206328,0.14670925,0.49300778,0.6579605,1.962257,0.67062086,0.87700135,0.060087703,1.3116192,0.19523783,0.8670434,2.074692,0.40753227,1.181974,0.13337947,0.7840783,0.81376934,1.299989,1.6038636,0.27584428,0.47410163,0.15037233,0.56330705,0.61046886,0.20753956,0.22984794,2.2388504,0.29604954,0.53573483,1.5883919,0.7011037,0.8529496,1.7432649,0.5939012,1.1281565,0.7422096,0.13652489,1.4794325,1.0295815,0.805117,2.1259742,1.0484389,0.16264708,3.6238577,0.3746578,0.6326876,0.4951859,0.21940064,0.2455276,0.027999783,0.16800669,0.83862877,1.7035028,2.3273375,1.9668541,1.8658832,0.86209977,0.84192663,1.9430684,0.10178364
hidden_0_n52,1.7119817,0.3698758,0.4135449,0.46383095,0.50390834,0.7102321,1.501562,1.5936838,0.7648029,1.7624619,0.4363958,0.19454794,1.1401931,0.70197767,1.3187201,1.0102117,0.49189392,0.3336042,1.5996282,0.66520727,0.42262018,0.4540817,1.0158844,0.9692658,0.6747612,1.5010934,1.5679778,2.3920434,0.41705066,1.4031667,1.8724862,1.3986703,0.24444841,1.9691882,1.335021,0.5252874,0.9343919,1.5504674,1.8435764,1.0612816,0.7678644,0.448702,0.0058936807,1.8633176,0.19995527,0.6740909,0.5854769,1.8045348,1.3084532,0.10616055,0.08695467,1.4622513,0.0,2.4062319,0.5141025,0.37025648,1.5226042,0.31965822,1.9447933,0.89636254,0.4116379,1.6727368,0.8366674,1.0486884,1.7047961,0.998895,1.4317667,1.8112185,1.3902755,0.28085816,0.8256907,0.2691569,1.8733758,1.6005346,1.9016929,0.39987135,1.9300469,1.5421816,0.49618417,0.48230174,0.13224901,1.817308,1.7324073,0.06109379,0.66534865,0.9599176,0.8445642,1.374068,0.16688967,3.1371355,1.0955596,0.31569278,1.1408318,1.0246178,0.9159711,1.2599686,0.9854465,3.1597304,0.8456655,1.9804882,0.119449146,1.1052377,0.9762638,0.7074116,2.520906,0.31812,2.911024,0.6717561,0.32166532,1.4554429,1.9920563,2.089111,0.7033712,0.77977693,1.2359235,0.69878703,2.3856323,1.2197547,0.85457635,0.25408682,0.7273817,1.410158,1.1159858,1.2515237,1.145966,0.50799316,0.39835903,0.7970912,0.110408336,0.75476724,0.56108457,1.1075087,0.64465183,0.54072636,0.57475215,0.50158864,1.4627994,0.066334456,0.54831314,1.6688398,0.10312546,0.46889523,0.18852136,0.86077493,0.4779532,0.1713982,0.3490258,1.4699184,1.2178534,0.18405123,0.66314685,1.4369059,1.8156946,0.35591647,1.4224728,0.23237371,1.0885832,0.71257854,1.2540895,0.42785764,0.980511,0.1072843,0.86900383,1.8105626,0.8694762,0.20077947,0.7582105,0.23037158,0.7254868,0.4096524,0.8988829,1.1974481,0.5558803,1.4050174,1.0430428,0.37667206,0.69068,0.65060383,0.37860003,1.6050843,0.5529167,0.47140184,1.4928555,0.21364416,0.702443,0.17292911,0.16540241,0.41856444,0.81513596,1.7289536,0.3411625,0.25585663
hidden_0_n53,0.28534037,1.5241687,0.6114341,1.3114636,3.6986141,0.86483675,0.9561798,1.0432836,0.4658405,0.43175185,1.9973257,0.42520005,0.7807951,3.460308,0.23991941,2.764845,0.11123917,0.9436795,0.64146364,0.9933901,0.29292354,2.042377,0.9930312,0.56568563,0.28298357,1.334891,0.18884802,0.7502596,1.3868779,3.071886,1.3701459,0.49885413,0.682588,0.9076905,0.7521227,0.6278411,2.895531,0.5333637,1.0341388,3.6383357,1.1489844,0.74848014,0.5080815,1.2624365,0.93807477,0.019835323,0.7167824,0.7234842,0.6426209,0.19510272,0.05511116,0.59915966,0.8149557,0.0,1.0684072,0.58099705,0.52989775,4.4405246,1.0872494,2.7481847,1.1681291,2.2805698,0.3457147,2.601275,0.75208485,0.6317177,0.81709963,1.1448579,0.80581945,1.1672226,0.44092122,2.2939332,0.5483355,0.20359786,0.46832427,2.1160374,0.98385817,0.76466167,0.71503085,0.4552162,0.3049831,0.09532284,1.1558975,1.0390122,1.1270816,1.3739154,1.1971414,1.694286,0.28677964,2.1583114,3.6843755,0.037600625,0.55044067,1.0939014,0.7266734,0.5420539,4.047335,1.2194798,0.8387254,0.922246,0.15419243,1.6177014,0.29799706,0.022671236,0.14587566,0.22447667,1.3124135,0.46963334,0.23260008,2.8944645,1.3332311,1.1558695,1.322564,0.30821478,1.35925,2.2527149,1.8859526,1.2518789,0.05720367,2.6494803,2.3595464,2.199552,1.2259346,1.1797142,0.8308785,0.5095876,1.0187585,4.189039,0.26660484,0.5968502,1.1193113,0.11297922,0.84113735,0.30287632,0.30246043,0.46979102,2.2587595,0.20431283,0.8359561,0.21865812,0.08687708,0.21724664,0.9070318,2.2102323,1.9004154,0.3778264,0.5710655,0.90874535,0.8335231,0.81766605,0.23460737,1.189573,1.7006733,0.9566453,0.5287875,0.19604246,0.68405044,0.13182053,1.3781979,0.73349327,1.2550043,0.95014054,2.5875137,0.80362576,1.428868,0.2553521,1.1190989,0.7675901,1.3651655,1.3063893,0.8858564,0.05601738,3.1142533,0.7147291,0.3572391,0.7203418,0.5271146,0.34107685,0.24883845,1.2190511,0.31207174,0.78427523,0.9723479,0.7137869,1.9292574,0.6831173,2.5176637,0.6847894,1.3031863,0.38425434,0.4951349,0.40018392
hidden_0_n54,0.57154197,0.8580859,1.1265727,0.08269194,1.091637,0.6538511,0.38121212,0.22829242,0.8053464,0.54766715,0.3703652,0.6494747,0.2100398,0.8075423,0.34021372,1.0897772,0.65915143,0.11377972,0.4790967,1.3639168,0.33769155,1.7739335,1.2249355,0.19395353,0.14471422,2.1520429,1.1743464,2.3168795,0.7851607,0.25839552,0.39154476,0.44778916,0.07773422,0.5396166,0.7987591,0.21825619,0.55284053,0.72252554,0.7413597,0.7202462,0.3562184,0.37297878,0.25434038,0.64129156,0.8001193,0.9177428,0.92368925,0.90042686,0.36723197,1.6730071,0.57356864,1.5287569,0.47668013,2.3514557,0.0,1.376536,0.6399379,0.4371087,0.94522613,0.08056794,0.3070565,0.7340486,0.26136476,0.69832355,0.1398714,0.13013357,1.2748635,0.48714802,0.92027587,0.7090996,0.41614458,0.9469955,1.7811451,0.63955927,0.054840993,0.25137976,1.2411547,1.9392463,0.69073135,0.06026907,1.3960654,0.9061409,0.41817743,0.8764709,0.22672991,0.54317224,0.34072942,0.99604344,1.2704785,0.24879776,0.5808898,0.6868884,0.41720316,0.49001428,0.36840147,0.52437437,0.32347578,1.303378,1.0137954,1.3475858,0.7767259,0.06917131,1.4061487,0.7916948,0.46651545,1.6844138,0.6882405,0.9774036,1.7521828,0.0934871,1.7095897,0.76649344,0.85255075,1.4399698,0.74387974,0.16561231,0.12123275,1.5902938,0.236076,0.111469366,0.28689164,0.031630557,0.6046891,1.2595369,0.0035939028,1.3928725,0.78701526,1.592419,1.2038244,1.0279332,0.65826595,3.3373868,0.8352357,0.3140134,0.94853014,0.38927624,2.4751637,0.699628,0.16388792,2.2445772,1.7705415,0.44625944,0.6404031,0.3280321,0.3913595,0.9510523,0.29922366,2.5322278,0.69819945,0.6260273,0.25814927,0.3872156,0.13884959,0.5210349,0.72486615,1.004125,3.2943096,1.9558753,0.6560183,0.7842577,0.82361764,0.15217827,1.4308132,0.25068292,1.627086,0.2684599,1.2379494,3.1255102,1.9750357,1.4157857,0.64077395,1.1456257,0.94201154,0.13384776,1.8329215,0.9359765,0.6415691,0.16339193,1.6284754,0.82208323,1.1394211,3.2049055,0.32767627,0.12580821,0.9159894,0.7612489,1.0074147,0.56184304,0.76211166,1.1644137,1.0461284,1.8971943
hidden_0_n55,0.20082748,1.3023434,1.4196894,0.4238217,1.930293,0.94667476,0.4102595,0.77062243,0.10354081,0.54248595,0.09949018,0.66806793,0.3157343,2.4053676,1.0333992,1.2009951,2.6236267,0.21965994,0.25432613,0.64371496,0.9724515,1.2581432,1.3950822,2.08963,0.5945044,0.771607,0.51599896,1.347842,1.9717419,0.18861519,0.27060956,1.522511,0.88566387,0.45540196,1.2579243,0.47153053,0.42526087,1.2778667,0.51931626,0.7787412,1.5667155,1.057952,0.105717406,0.6296674,0.73345095,2.0927105,0.02830193,0.8387142,0.33444783,2.3499744,1.1519436,0.74291223,0.75768477,2.2597508,0.9355408,0.0,1.1827223,0.45646718,0.58904886,1.1051636,0.9675887,0.4088357,0.7910153,0.5981718,0.41102514,0.62272114,0.099449694,0.55506986,0.92213297,0.20324212,1.0098838,0.37264752,0.36790958,0.60216016,0.4416858,0.7671397,0.7908523,0.8944687,0.21656768,0.45714942,0.69827807,0.30388173,0.4731616,0.85094947,0.71985817,0.9706774,0.83797365,0.26791,0.6203481,1.478686,0.20976476,0.76203775,1.9024426,0.8023205,1.494769,0.35868245,0.370266,0.46751451,1.2457951,3.376707,0.64162356,0.07367911,1.4025564,0.70547646,0.54126835,1.9474164,0.8063838,1.8620341,3.7785563,0.164061,0.5896786,0.10524046,0.54682946,1.7943468,0.6687863,2.3585296,1.0372798,0.414188,1.3781044,0.14221583,0.5478219,0.49831167,0.8528213,0.71584976,0.16216852,2.966445,2.8404403,1.8075633,0.98485273,1.6929513,0.4926438,1.9173003,1.687232,0.9548939,0.3813994,1.5287961,0.3027425,1.0130153,0.60002774,1.4862888,0.8478395,0.07153869,0.13490035,0.35641792,0.6944364,0.81888145,2.5668082,1.4058944,0.33490565,1.4672561,0.28310728,0.6713472,1.4939318,0.6560557,1.1131008,1.9348974,0.97137934,1.9073658,0.69896346,0.08223505,1.1502082,0.66939086,0.12465989,0.1704231,1.1317257,0.6143541,0.37089145,1.48918,1.4556241,0.45214984,0.96455944,1.3058345,0.47453603,1.238295,1.2518765,1.7791643,1.0880568,0.2996975,1.9074389,0.8797244,0.86512715,1.8223377,0.46185708,1.0233876,0.7599488,0.7546851,1.2234106,1.8242015,0.7307454,0.46225336,2.264298,0.8918889
hidden_0_n56,0.3878474,0.09618073,0.6459789,2.3632014,1.5462021,0.33862922,0.7792557,1.0574676,0.034057114,0.026772685,0.2098967,0.082633086,0.3675291,3.1143947,0.8053996,0.68314767,0.33772394,0.43707895,1.5474317,1.1015395,0.06836272,0.22846977,1.8428745,1.0796142,0.04464284,0.715742,0.753572,0.08855053,0.47698027,0.8705367,0.20477715,1.3293118,0.8643704,1.2764401,0.13910046,0.44176584,0.867464,0.5268634,0.27979758,0.9036426,2.4610612,0.9991192,0.5713277,0.22002137,0.61053574,0.89107263,1.4331362,0.8399461,2.3505027,0.8211167,0.10910797,0.18684208,1.8072112,1.0315397,0.050083067,1.0206221,0.0,0.1893268,0.23765577,0.12407915,1.7047234,0.6289842,0.5589007,0.69392675,2.0685256,1.3580215,0.7963746,0.23827486,1.0837322,1.7551955,1.1062927,1.2065936,0.5571295,0.54553735,3.099046,0.9209763,0.028824134,0.9294356,2.092588,0.66644025,0.2648998,0.13130453,0.5969232,0.9893114,0.25952995,1.0274321,1.6676838,0.24410103,0.4651996,2.629861,1.1384192,0.08550059,0.41444066,0.081611015,0.6359345,4.2580223,2.3319795,0.5420839,0.50701565,1.7598169,0.5721494,0.8044836,0.30468595,2.0365634,0.33441782,0.3179541,0.6967515,1.8004158,0.71350837,1.1470225,0.4916974,0.54370856,1.7137132,1.2201339,0.6721314,0.97603524,1.9066012,0.27048334,1.2717471,1.4027039,0.45880052,2.9379842,2.8536696,0.47350398,0.67297417,1.811093,1.8178569,0.57313234,0.59197944,0.2522673,0.28450918,0.53892004,0.1822535,2.228708,0.9537343,0.13905019,0.6308044,0.7662985,2.280934,1.6671168,1.1835938,0.6383566,1.9467416,0.36124003,0.51189584,1.3962681,0.052961655,0.27597314,0.6876834,0.68529385,0.84715396,1.8441538,0.8499253,1.0374501,0.46919098,0.164146,0.3506192,0.074486084,0.040987898,0.49035844,1.0473547,0.15666978,0.6254507,0.59715205,0.49399236,0.33416343,0.87714416,2.4073534,1.4471126,0.6749265,0.18887736,0.28859347,0.0787626,0.34844476,0.072587594,0.93153477,0.7798626,0.51881206,0.78501093,0.7492004,1.2014749,1.5406613,1.5721749,0.4455519,0.5215672,0.26587766,1.3700159,0.6536528,0.9459035,0.67528623,0.5399749,0.24026604
hidden_0_n57,0.0673159,1.1366416,0.23940405,1.3243154,1.0496596,0.06500909,0.5311654,0.56337667,0.19971098,0.18550053,0.39144772,0.1620902,0.27489024,0.17908524,0.23623142,0.9093963,0.08855571,0.32227394,0.98094404,0.2599424,0.8360821,0.1424859,1.8803204,0.16770409,0.76267767,0.61497724,0.5688952,0.44576183,0.43481186,0.32004386,0.57829654,0.81054103,0.61724865,0.14760818,0.22502463,1.125261,0.8716189,0.02887244,0.9927484,2.110811,1.1209126,0.35243157,1.4932775,0.5806884,0.69527894,1.1631228,3.2042418,0.49777046,1.1418127,0.9939018,0.44499934,1.0133318,0.5026127,0.7445866,0.40657833,1.0751529,0.19457962,0.0,1.3026806,0.58472526,0.5898569,1.8116593,0.6036182,0.96248037,2.201053,1.2052546,0.21493655,0.34536734,0.20089357,1.7429509,0.8174143,0.297824,0.19770364,0.07832062,0.34894046,1.640713,1.065707,1.1112328,1.5414069,0.31576347,0.04539193,0.38936228,0.021725535,0.21461041,0.11539092,0.22793147,0.4705739,0.6918011,0.092782,1.6954014,1.3910244,0.39857498,0.60174817,0.26569593,0.028325487,0.64339215,0.14984895,0.9892726,1.0824113,0.6801351,0.2939078,1.7467632,0.6097405,0.74252796,0.4423438,1.0683103,0.8597298,0.28134432,0.31253737,0.071529165,0.24646129,0.8189402,0.5923384,0.27960256,0.8943056,1.0301559,0.62546545,0.5347392,0.5321974,1.8983663,1.8377156,0.8797767,1.2459472,0.3300914,0.5622961,0.42224446,0.26337782,0.051822938,0.30796388,0.4820965,0.19944233,0.61708313,1.0566713,0.69158345,0.094679564,0.39531174,2.904317,0.02603733,3.2093782,0.6138779,0.41692102,0.054078653,2.0628219,1.8817117,0.24885197,0.37081426,0.17339471,0.61884534,0.3879806,0.054141294,0.91038793,1.7685766,0.15885185,1.6400387,0.63525546,0.66495466,0.32817352,0.37994432,0.61640555,0.62944645,0.07298866,0.42253715,0.9296744,0.71596974,0.5697522,0.1645961,1.6417785,0.68839735,0.2899663,1.6937469,0.8183819,1.4832246,0.2113294,0.019360116,0.5952598,0.118472986,0.756432,0.69770426,0.29916888,2.1708517,0.30897984,0.29790625,0.22868384,0.08574266,1.0725774,0.40945756,0.2577085,0.2912346,0.1279988,0.17785919,0.6022519,0.12858528
